Transaction ID,Date,Time,Amount,Customer ID,Category
1,5/1/2023,9:10:32,100.5,CUST001,Groceries
2,5/2/2023,14:23:17,50.75,CUST002,Clothing
3,5/3/2023,18:45:59,20,CUST003,Electronics
4,5/4/2023,11:30:21,75.2,CUST001,Home Decor
5,5/4/2023,16:12:10,35.9,CUST004,Groceries
6,5/5/2023,9:05:43,15.75,CUST002,Electronics
7,5/6/2023,13:20:58,60.3,CUST003,Clothing
8,5/7/2023,17:15:01,200,CUST005,Home Decor
9,5/8/2023,10:45:12,45.6,CUST001,Clothing
10,5/9/2023,14:55:39,80.9,CUST004,Groceries
11,5/10/2023,16:30:47,25.4,CUST002,Electronics
12,5/10/2023,19:18:55,150.75,CUST006,Home Decor
13,5/11/2023,8:55:27,40.2,CUST003,Clothing
14,5/12/2023,12:10:15,30.8,CUST005,Groceries
15,5/13/2023,15:40:48,95.6,CUST001,Electronics
16,5/14/2023,18:25:33,55.9,CUST006,Home Decor
17,5/15/2023,10:35:27,70.5,CUST002,Clothing
18,5/16/2023,14:45:50,120.3,CUST004,Electronics
19,5/16/2023,19:00:11,180,CUST007,Groceries
20,5/16/2023,21:15:02,20.5,CUST001,Clothing
